,division,college,first_name,last_name,mu,sigma
301,DI,Grand Canyon,Taylor,Jarzombek,30.59677880651398,3.600079244093817
302,DI,Florida State,Macy,Jerger,41.5726965731552,3.0914249793758413
303,DI,Georgia State,Georgia,Johnson,36.91939955100546,2.971443084181943
304,DI,Mercer,Jessica,Johnson,20.42101831782677,3.8772037389151595
305,DI,ASU,Kwyn,Johnson,33.526637850940105,4.0315514798121255
306,DI,Boise State,Kylee,Johnson,20.480932424432492,4.832229886750016
307,DI,Georgia State,Mattie,Johnson,29.595774239881813,5.911817702716615
308,DI,Oregon,Willow,Johnson,19.03572625129533,6.049118318834467
309,DI,Texas A&M Corpus Christi,Gabriella,Johnston,24.267325055434007,7.09577797074383
310,DI,Morehead State,Jordan,Jones,13.03457176665321,6.331013459003969
311,DI,Washington,Destiny,Julye,38.64193119355387,3.028282295798211
312,DI,UNF,Casey,Justice,23.902275466059983,3.494632260729588
313,DI,UCLA,Lily,Justine,47.47170037641144,2.6179699508765752
314,DI,USC,Maja,Kaiser,29.60637271268409,3.33689951280315
315,DI,Hawaii,Carly,Kan,44.102712790564176,2.6306081336498104
316,DI,Santa Clara,Allison,Kantor,27.232573312663543,5.977020838104229
317,DI,Long Beach State,Sasha,Karelov,51.303703879277364,3.124695357111672
318,DI,Stanford,Caitlin,Keefe,29.64121768425651,2.9632493860425035
319,DI,Mercer,Kylie,Keeling,20.64533172144709,3.5078225356164525
320,DI,UAB,Alex,Kells,21.304604920494313,7.407366272872081
321,DI,UNC Wilmington,Sarah,Kelly,23.858851907349163,3.2516730717535793
322,DI,ULM,Allie,Kemp,19.4976072787656,3.803827156830591
323,DI,Saint Mary's,Morgan,Kendrick,30.47920172522135,4.880407163693401
324,DI,USC,Katrina,Kernochan,32.39436275982443,4.279379042006585
325,DI,Abilene Christian,Makenzie,Kesler,16.058837128040675,6.488617171476872
326,DI,LSU,Lilly,Kessler,33.17783681361035,6.864820179148221
327,DI,FAU,Jessalyn,Kinlaw,35.79778832413023,3.016687845196901
328,DI,Jacksonville State,Hannah,Kirk,17.440031945524957,4.507847517533732
329,DI,Long Beach State,Emma,Kirst,27.418698320509005,7.621312428594623
330,DI,UNC Wilmington,Maddy,Kline,41.77386971657026,3.1667513424136335
331,DI,FIU,Dorina,Klinger,36.06214140838671,3.361193762649786
332,DI,Saint Mary's,Kelsey,Knudsen,27.37650613862143,3.3250076622641864
333,DI,Saint Mary's,Lindsey,Knudsen,36.68848664694646,3.208842357639224
334,DI,Utah,Kenzie,Koerber,21.32911033595705,4.309258437664732
335,DI,Long Beach State,Zoi,Konstantopoulou,35.00570220318768,3.3355786347463754
336,DI,Austin Peay State,Nina,Korfhage,25.332484193545383,6.653797655483804
337,DI,USF,Trish,Koutsoukos,17.80521699068631,6.763845940251921
338,DI,LMU,Sara,Kovac,37.06948421433859,2.9625590630906125
339,DI,Pepperdine,Deahna,Kraft,50.453778475150244,3.205103465970927
340,DI,Stetson,Katinka,Krahn,27.60692147765176,4.460365385487342
341,DI,Jacksonville,Katie,Krawczyk,30.611976487887492,4.14996519297135
342,DI,USC,Jo,Kremer,28.89056232804959,3.1914561054556754
343,DI,Texas A&M Corpus Christi,Jenna,Krenek,19.797271234874145,4.518528521172429
344,DI,FGCU,Kaitlan,Krivdo,17.814781223592373,3.6823736438731896
345,DI,Long Beach State,Megan,Kruidhof,39.09581138962935,3.619845340849288
346,DI,Jacksonville State,Kim,Krutsinger,23.710081927454052,7.815044049430562
347,DI,Florida State,Brooke,Kuhlman,33.75861878174249,2.893560877113609
348,DI,New Orleans,Rachel,Kuhn,32.36742375724869,4.0014057048767615
349,DI,"Cal State University, Sacramento",Kennedy,Kurtz,25.804773036627793,4.290267046493842
350,DI,Pacific,Maycie,LaBass,27.160487906525926,3.883433677280573
351,DI,Coastal Carolina,Shelby,Ladewig,16.15864947468755,5.766680966928156
352,DI,Saint Mary's,Jennifer,Laird,24.278396115519804,4.32828307089895
353,DI,Boise State,Brindl,Langley,28.026750674936185,4.8872785472541205
354,DI,Missouri State,Kelsey,Larsen,25.394759537029426,6.877163149413589
355,DI,USF,Laura,Leap,18.88642268628611,5.964531363210858
356,DI,Cal Poly SLO,Olivia,Lee,28.158322630298365,7.7743633497703355
357,DI,LMU,Maddie,Leiphardt,25.826164428971097,2.816678123244716
358,DI,USF,Shannon,Levinson,13.038750602509214,4.685071368849512
359,DI,UNC Wilmington,JM,Lewandowski,27.94125126002988,3.2136445178927726
360,DI,Boise State,Kiley,Lewis,33.974261983763604,4.787233589822166
361,DI,FAU,Julia,Lewkowicz,31.12624387621837,3.8288939167424174
362,DI,LSU,Maddie,Ligon,36.26918789617781,2.6822849619736204
363,DI,Cal,Iya,Lindahl,37.54794750186321,2.889815437483715
