,Name,Year,Height,Hometown/HS,Team,mu,sigma
218,Hailey Devlin,Sr,6'2,"San Diego, Ca",Arizona,40.71901559636153,2.1238521062633904
219,Jaclyn Inclan,Fr,5'10,"Tucson, Az",Arizona,25.0,8.333333333333334
220,Jonny Baham,Fr,5'6,"Carlsbad, Ca",Arizona,37.726583573124955,2.1238521062633904
221,Jordan Abalos,R-Jr,5'10,"Safford, Az",Arizona,25.0,8.333333333333334
222,Kacey Nady,R-Sr,6'2,"San Diego, Ca",Arizona,37.08804797747428,2.1238521062633904
223,Makenna Martin,R-Fr,5'9,"Gilbert, Az",Arizona,38.43416663422054,2.1604329520970493
224,Mia Mason,Jr,5'11,"Manhattan Beach, Ca",Arizona,34.226760642516076,2.475330544877422
225,Natalie Anselmo,So,5'6,"Los Angeles, Ca",Arizona,38.04175580873993,2.1238521062633904
226,Olivia Hallaran,So,5'9,"Mesa, Az",Arizona,37.08804797747429,2.1238521062633904
227,Olivia Macdonald,Sr,6'0,"Piopio, New Zeland",Arizona,38.04175580873993,2.1238521062633904
228,Sara Watanabe,R-So,5'9,"Honolulu, Hi",Arizona,40.69367877601787,2.1988116511516824
229,Stephany Purdue,Sr,5'11,"Mesa, Az",Arizona,40.71901559636153,2.1238521062633904
230,Bailey Anderson,Fr,,"Las Vegas, Nv",ASU,46.363581393969476,1.9932270183499219
231,Cassidy Schilling,Fr,,"Moorpark, Ca",ASU,25.0,8.333333333333334
232,Cierra Flood,Fr,,"Phoenix, Az",ASU,38.22910889803234,2.088947496830355
233,Ellyson Lundberg,So,5'11,"Larkspur, Ca",ASU,38.92956123065921,2.1238521062633904
234,Frances Giedraitis,Sr,5'9,"Tucson, Az",ASU,36.638668949854654,2.088947496830355
235,Halle Parker,Fr,,"Bakersfield, Ca",ASU,45.471598218560636,2.4228399529455746
236,Jourdan Parnell,Jr,5'8,"San Diego, Ca",ASU,21.44577362835351,2.475330544877422
237,Kara  Woodard,So,5'11,"Phoenix, Az",ASU,37.457086660758755,2.023732267234736
238,Kate  Baldwin,Fr,,"Lakewood, Ca",ASU,37.94274037703319,2.1238521062633904
239,Katelyn Carballo,So,5'9,"Laguna Beach, Ca",ASU,38.92956123065921,2.1238521062633904
240,Katie Cross,Jr,5'11,"Flagstaff, Az",ASU,38.22910889803234,2.088947496830355
241,Kwyn Johnson,R-Sr,6'3,"Kalispell, Mont",ASU,36.69848118524743,2.088947496830355
242,Mia Rivera,Sr,5'8,"Gilbert, Az",ASU,36.69848118524743,2.088947496830355
243,Natalie Braun,Jr,5'7,"Phoenix, Az",ASU,36.638668949854654,2.088947496830355
244,Samantha Plaster,Fr,,"Flower Mound, Tx",ASU,37.94274037703319,2.1238521062633904
245,Sierra Ellett,Fr,,"Scottsdale, Az",ASU,30.662398481978926,4.602136767117366
246,Sydney Palmer,Sr,5'7,"Yorba Linda, Ca",ASU,38.297835959343864,2.023732267234736
247,Anna Unnasch,So,5'9,"San Diego, Ca",Grand Canyon,33.52394249890253,5.0884728472465515
248,Bella Baumann,Fr,5'11,"Wheaton, Il",Grand Canyon,37.053150970088105,2.1238521062633904
249,Emily Reinking,Sr,5'7,"Huntington Beach, Ca",Grand Canyon,18.775416108412312,2.5898005062696576
250,Hannah Towne,So,5'11,"Rochester, Ind",Grand Canyon,39.39514285857301,2.1238521062633904
251,Jamie  Walsh,Jr,6'0,"Shell Beach, Ca",Grand Canyon,41.72509207292914,2.1988116511516824
252,Jessica Clark,So,5'7,"Monroe, Wa",Grand Canyon,41.72509207292914,2.1988116511516824
253,Jessica Stansfield,So,5'6,"Wall, N.J.",Grand Canyon,37.0531509700881,2.1238521062633904
254,Jordyn Sanchez,R-Sr,5'9,"Huntington Beach, Ca",Grand Canyon,25.0,8.333333333333334
255,Katie Sarber,Fr,5'9,"Dade City, Fl",Grand Canyon,40.87729919733663,2.1238521062633904
256,Katie Pyles,GS,5'9,"Littleton, Co",Grand Canyon,48.29298856672864,1.858498583875018
257,Kelli Iverson,Sr,5'11,"San Marcos, Ca",Grand Canyon,34.755172499615256,2.5898005062696576
258,Kiersten Varga,Fr,5'9,"Bradenton, Fl",Grand Canyon,25.0,8.333333333333334
259,Madi Relaz,Fr,5'10,"Redondo Beach, Ca",Grand Canyon,48.29298856672864,1.858498583875018
260,Maggie Demore,Jr,5'7,"Phoenix, Az",Grand Canyon,25.0,8.333333333333334
261,Micaela Mirabal,So,5'9,"Austin, Tx",Grand Canyon,25.0,8.333333333333334
262,Michaela Reese,So,6'0,"Lancaster, Ca",Grand Canyon,25.0,8.333333333333334
263,Molly Turner,Sr,5'8,"Naperville, Ill",Grand Canyon,39.39514285857301,2.1238521062633904
264,Natalie Honzovicova,Fr,5'10,"Prague, Czech Republic",Grand Canyon,40.87729919733663,2.1238521062633904
